# profiles	role	release	relative_path	url	expected_bytes	checksum_algorithm	expected_checksum	validator
references	cafa3_mf_validation	Zenodo-7409660	reference_artifacts/canonical_cafa3/mf-validation.csv	https://zenodo.org/records/7409660/files/mf-validation.csv	6861320	md5	897921ce5df8174672200320926ccc87	csv
references	cafa3_mf_test	Zenodo-7409660	reference_artifacts/canonical_cafa3/mf-test.csv	https://zenodo.org/records/7409660/files/mf-test.csv	2105184	md5	2735e408dd57f6de29b1538f6b150d68	csv
references	cafa3_go_obo	Zenodo-7409660	reference_artifacts/canonical_cafa3/go.obo	https://zenodo.org/records/7409660/files/go.obo	34091614	md5	b1bed0704fb72d77350c20d25fcca0df	obo
references	deepgoplus_cafa	DeepGOPlus-CAFA	reference_artifacts/deepgoplus/data-cafa.tar.gz	https://deepgo.cbrc.kaust.edu.sa/data/data-cafa.tar.gz	1072198260	-	-	deepgo-archive
references	zijian_prott5_embeddings	Zenodo-19498341	reference_artifacts/zijian_embeddings/mmfp_embeddings_prott5.tar.gz	https://zenodo.org/records/19498341/files/mmfp_embeddings_prott5.tar.gz	268013648	sha256	30dd88fc4acbe3bc267bd8d5ae05e4d967fa7c169a6f063f12d2395fb0ffb00f	tar-gzip
references	zijian_structure_ppi_embeddings	Zenodo-19498341	reference_artifacts/zijian_embeddings/mmfp_embeddings_struct_ppi.tar.gz	https://zenodo.org/records/19498341/files/mmfp_embeddings_struct_ppi.tar.gz	186266310	sha256	6d7a243f2c5e2149c162698b4e6a5e297731a4fea835d57b9049bb31f4af32de	tar-gzip
references	zijian_text_embeddings	Zenodo-19498341	reference_artifacts/zijian_embeddings/mmfp_embeddings_text_temporal.tar.gz	https://zenodo.org/records/19498341/files/mmfp_embeddings_text_temporal.tar.gz	197561634	sha256	df1bf558fab1c018286a5b389665245917ba951f2c6cd8558546d0b1a3b47e36	tar-gzip
references	zijian_checkpoints	Zenodo-19498341	reference_artifacts/zijian_mmfp/mmfp_checkpoints.tar.gz	https://zenodo.org/records/19498341/files/mmfp_checkpoints.tar.gz	93515229	md5	d69275ec7c1ab54c54142361d3dba398	tar-gzip
references	zijian_data_splits	Zenodo-19498341	reference_artifacts/zijian_mmfp/mmfp_data_splits.tar.gz	https://zenodo.org/records/19498341/files/mmfp_data_splits.tar.gz	55938707	md5	b54cffdac2beb3ef3e89a1191b0affa1	tar-gzip
tools	mmseqs2	18-8cc5c	tools/mmseqs2/18-8cc5c/mmseqs-linux-avx2.tar.gz	https://github.com/soedinglab/MMseqs2/releases/download/18-8cc5c/mmseqs-linux-avx2.tar.gz	17375777	sha256	bd9b0234da5949ad528d5b5f9ea4cda9c1e23dce14b46c0791d4d919a76e61ce	mmseqs-archive
